epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,951.24,1.134,0.51829,0.8783,0.89362,0.5511,0.53413,0.30269,1.445,0.71647,0.98239,0.000745223,0.000745223,0.000745223
147,958.093,1.16581,0.5211,0.88121,0.87507,0.55295,0.5269,0.30632,1.47014,0.70652,0.9865,0.000740508,0.000740508,0.000740508
148,963.845,1.15681,0.51342,0.87748,0.87204,0.55794,0.52701,0.30339,1.47274,0.71851,0.98576,0.000735792,0.000735792,0.000735792
149,970.064,1.14446,0.51795,0.88136,0.87525,0.5522,0.5216,0.28949,1.49415,0.72409,0.9817,0.000731076,0.000731076,0.000731076
150,976.886,1.16731,0.51539,0.87464,0.8818,0.53096,0.5119,0.28022,1.46139,0.71032,0.97473,0.000726361,0.000726361,0.000726361
151,982.243,1.12838,0.50981,0.87277,0.8795,0.53682,0.51346,0.29189,1.4111,0.69555,0.96848,0.000721645,0.000721645,0.000721645
152,989.277,1.13844,0.5133,0.87359,0.86658,0.56649,0.54007,0.30305,1.38396,0.70166,0.97151,0.000716929,0.000716929,0.000716929
153,995.082,1.15682,0.52054,0.87703,0.86441,0.56782,0.53292,0.30334,1.39136,0.70693,0.97318,0.000712214,0.000712214,0.000712214
154,1001.18,1.14775,0.51484,0.87132,0.85288,0.56577,0.53142,0.30558,1.3837,0.70935,0.97257,0.000707498,0.000707498,0.000707498
155,1007.83,1.11638,0.51473,0.87413,0.88064,0.54488,0.52799,0.29694,1.36971,0.69573,0.96612,0.000702782,0.000702782,0.000702782
156,1012.9,1.13129,0.50131,0.87636,0.86122,0.56809,0.54638,0.30173,1.38728,0.70956,0.97116,0.000698066,0.000698066,0.000698066
157,1019.74,1.11314,0.50458,0.86937,0.8772,0.5656,0.55297,0.30981,1.40217,0.71541,0.97774,0.000693351,0.000693351,0.000693351
158,1025.52,1.15446,0.51816,0.871,0.89433,0.55772,0.55182,0.32276,1.4134,0.71179,0.98326,0.000688635,0.000688635,0.000688635
159,1032.51,1.12563,0.50214,0.86846,0.87848,0.57446,0.56539,0.33196,1.42551,0.70518,0.98733,0.000683919,0.000683919,0.000683919
160,1039.02,1.12416,0.50042,0.86001,0.86684,0.57443,0.56384,0.33019,1.42911,0.69672,0.9861,0.000679204,0.000679204,0.000679204
161,1044.72,1.133,0.51137,0.87525,0.88333,0.58073,0.57389,0.3368,1.42409,0.69797,0.97872,0.000674488,0.000674488,0.000674488
162,1052.73,1.1186,0.5053,0.87329,0.86475,0.58399,0.57339,0.3354,1.40784,0.70302,0.97523,0.000669772,0.000669772,0.000669772
163,1058.2,1.12179,0.51043,0.87122,0.90349,0.58255,0.57434,0.33653,1.35891,0.70136,0.96245,0.000665057,0.000665057,0.000665057
